model_nm,RMSE,MAPE,MAE,R2,duration
XGB,1.7459641982773102,0.020261701939125017,0.8391170992279052,0.9977813712596773,2.366611957550049
CatBoost,1.5248492477897717,0.018777082717257577,0.7657307681506894,0.9983077372840486,2.2110040187835693
LGBM,1.6508372582194812,0.01985153100979899,0.8350426428468846,0.998016544366472,0.8777809143066406
RandomForest,4.77987475645031,0.09984744761994563,3.0649567197722143,0.9833717325556345,24.744458198547363
GradientBoosting,1.5497579425377028,0.019467062014400516,0.7863065385141134,0.998251998874103,16.884455919265747
ExtraTrees,1.523856281407204,0.018139752847811087,0.7414201733333259,0.9983099405351217,22.52630090713501
NGB,3.5548480082689435,0.0622834483635915,2.7447626374598513,0.9908027913349116,23.3972327709198
