Feature,Importance
제조사_P사,45.19929648611235
모델_RSeTGT,8.760802452594463
제조사_H사,6.986517987491694
제조사_K사,5.343986009832771
모델_i3,4.425582479130247
제조사_T사,4.297642489619429
배터리용량,4.128759575374993
모델_TayGTS,3.8606968461459323
모델_iX,3.1774772505910707
구동방식_FWD,2.817985649431972
모델_ID4,2.004993158248569
모델_Tay,1.7350613996367292
제조사_V사,1.274586662513843
모델_Soul,1.1931265512069984
모델_M3,0.9267520061089534
연식대비_보증기간_비율,0.8704711900061863
모델_MX,0.6817460121863931
모델_Niro,0.5860842663871821
배터리용량대비_주행거리_비율,0.5084142437489904
연식대비_주행거리_비율,0.33419517469235144
모델_eT,0.17525589884588094
모델_IONIQ,0.16592013816395237
차량상태_Nearly New,0.13730998795243615
모델_MY,0.09358862440360854
연식(년)_2,0.05881643440245307
모델_Q4eT,0.051618447819544486
제조사_B사,0.041329028072901314
모델_TayCT,0.04129299684312782
모델_i5,0.025917272516742862
주행거리(km),0.02247503146489228
모델_ION5,0.020198680365697375
모델_KNE,0.014221457289752562
보증기간(년),0.012150148310624583
연식(년)_1,0.007763651379917392
모델_MS,0.0073005541470668785
ID,0.006954515044963877
모델_ION6,0.0035152903098660763
사고이력_Yes,0.00018699217382465083
차량상태_Pre-Owned,6.959431656843796e-06
구동방식_RWD,0.0
