iter	RMSE
158	2.23092259
159	2.215624977
160	2.2065778
161	2.197017095
162	2.187720213
163	2.172569444
164	2.153855763
165	2.146729773
166	2.13613642
167	2.126821224
168	2.114452015
169	2.100062423
170	2.090900098
171	2.077923063
172	2.064840706
173	2.053334572
174	2.045129895
175	2.035514868
176	2.025014085
177	2.010204249
178	2.001112265
179	1.994786182
180	1.985703272
181	1.972067317
182	1.959658485
183	1.950922819
184	1.940922714
185	1.932324427
186	1.921017621
187	1.912827335
188	1.904390762
189	1.897665842
190	1.886690396
191	1.878242768
192	1.869929119
193	1.862337726
194	1.855782858
195	1.845867747
196	1.83984902
197	1.8341149
198	1.828381399
199	1.81935958
200	1.813288823
201	1.801133513
202	1.792850505
203	1.788099928
204	1.780584324
205	1.769798513
206	1.765584905
207	1.758637889
208	1.753168087
209	1.745480681
210	1.738839371
211	1.731809275
212	1.724377544
213	1.718723749
214	1.714300129
215	1.708808877
216	1.703769623
217	1.698733267
218	1.692990047
219	1.684268684
220	1.679989338
221	1.673142565
222	1.667627496
223	1.662210082
224	1.657876924
225	1.651808991
226	1.644011245
227	1.640500784
228	1.635145039
229	1.630959665
230	1.626302568
231	1.619492559
232	1.6163201
233	1.611393208
234	1.608122869
235	1.603609929
236	1.597467434
237	1.594133031
238	1.588953275
239	1.585268048
240	1.581163237
241	1.574461718
242	1.568896055
243	1.564133193
244	1.559491591
245	1.555638473
246	1.551899389
247	1.546396453
248	1.54253379
249	1.538018238
250	1.534827123
251	1.532123415
252	1.52689652
253	1.523319809
254	1.518564627
255	1.51496192
256	1.511427937
257	1.507295021
258	1.50508124
259	1.501680643
260	1.497654798
261	1.494954404
262	1.492469217
263	1.489243295
264	1.485778436
265	1.482631001
266	1.478907818
267	1.475686858
268	1.473303906
269	1.470050032
270	1.466971776
271	1.464709691
272	1.461916445
273	1.459349089
274	1.456533397
275	1.453577134
276	1.452018597
277	1.44922025
278	1.446804264
279	1.444676155
280	1.443260453
281	1.441475382
282	1.438870624
283	1.436311008
284	1.43378153
285	1.431709369
286	1.429439617
287	1.42764704
288	1.42554573
289	1.424213638
290	1.420747082
291	1.418492397
292	1.416872853
293	1.412250584
294	1.408776372
295	1.405359561
296	1.4031762
297	1.401728514
298	1.399213131
299	1.396544313
300	1.392874877
301	1.390342522
302	1.388763962
303	1.385846507
304	1.383959774
305	1.381919457
306	1.379933624
307	1.377834185
308	1.376347182
309	1.373999015
310	1.371924591
311	1.369880865
312	1.366827676
313	1.365227957
314	1.363874956
315	1.361937064
316	1.360312568
317	1.358024786
318	1.356828571
319	1.354959139
320	1.35214813
321	1.3494418
322	1.347707212
323	1.346375492
324	1.344947336
325	1.342006242
326	1.340573572
327	1.339226254
328	1.337565958
329	1.336088979
330	1.334593436
331	1.333485175
332	1.332080039
333	1.329975432
334	1.328705755
335	1.32746772
336	1.325603961
337	1.323923716
338	1.322437975
339	1.321176657
340	1.318115762
341	1.316733415
342	1.31497414
343	1.313366236
344	1.312503865
345	1.311047568
346	1.308834275
347	1.306812005
348	1.304540102
349	1.303661072
350	1.302598034
351	1.300787794
352	1.299654533
353	1.298628843
354	1.297355127
355	1.296155027
356	1.294626691
357	1.293431403
358	1.291817042
359	1.290320945
360	1.289304585
361	1.288105721
362	1.287299167
363	1.286233008
364	1.284905798
365	1.283217895
366	1.282377202
367	1.28107746
368	1.279706155
369	1.277519174
370	1.275600971
371	1.274398929
372	1.272889504
373	1.271772956
374	1.270726845
375	1.269851875
376	1.268999555
377	1.266688082
378	1.265725795
379	1.264491567
380	1.263207489
381	1.26178009
382	1.260827616
383	1.258502959
384	1.257238525
385	1.256075891
386	1.255290385
387	1.253677052
388	1.251667564
389	1.250561988
390	1.249463733
391	1.248519798
392	1.247175419
393	1.245947589
394	1.244939202
395	1.244178085
396	1.243099582
397	1.241965275
398	1.240520346
399	1.239790681
400	1.238944666
401	1.237890903
402	1.23697918
403	1.235865473
404	1.235106551
405	1.234448439
406	1.233700871
407	1.232721695
408	1.231025814
409	1.230276867
410	1.229694783
411	1.228700486
412	1.227809069
413	1.226723977
414	1.22593976
415	1.225251683
416	1.224215236
417	1.223449377
418	1.22278995
419	1.221577569
420	1.219828988
421	1.218888141
422	1.21809462
423	1.217056864
424	1.216054179
425	1.215143176
426	1.213523631
427	1.212561404
428	1.211851943
429	1.211071392
430	1.210483875
431	1.209061115
432	1.208422516
433	1.207113438
434	1.206581976
435	1.205840843
436	1.20479929
437	1.203878225
438	1.203078185
439	1.201586123
440	1.200735868
441	1.199784644
442	1.198976444
443	1.198411837
444	1.197165278
445	1.196186866
446	1.195459149
447	1.194367129
448	1.193539388
449	1.192380079
450	1.191683054
451	1.190237563
452	1.189048034
453	1.187805184
454	1.187084247
455	1.186488641
456	1.185690178
457	1.185144658
458	1.18433646
459	1.18384278
460	1.183255864
461	1.182761564
462	1.181927746
463	1.181210252
464	1.180008162
465	1.179042081
466	1.178253087
467	1.177544534
468	1.177015178
469	1.176148053
470	1.175259905
471	1.174643298
472	1.172283712
473	1.171292131
474	1.170354186
475	1.169157767
476	1.168135845
477	1.167873547
478	1.167312953
479	1.166449621
480	1.165647043
481	1.164567069
482	1.163445517
483	1.162349309
484	1.161607624
485	1.160878135
486	1.160549559
487	1.159878039
488	1.159232816
489	1.15847507
490	1.157864801
491	1.157247002
492	1.156552614
493	1.15547987
494	1.154713852
495	1.153813557
496	1.153335705
497	1.153109004
498	1.151880589
499	1.150651245
500	1.150206456
501	1.149174668
502	1.148370742
503	1.148166165
504	1.14672284
505	1.145895439
506	1.145421348
507	1.144944969
508	1.143887452
509	1.143429776
510	1.143110693
511	1.142269947
512	1.141934429
513	1.141034475
514	1.140855203
515	1.140302994
516	1.139785717
517	1.138560648
518	1.13809065
519	1.137374457
520	1.136715204
521	1.135744392
522	1.134840146
523	1.134255314
524	1.133520507
525	1.132913227
526	1.131713384
527	1.130377524
528	1.128789349
529	1.12837824
530	1.127511644
531	1.126922737
532	1.126337525
533	1.125851488
534	1.125455068
535	1.125114395
536	1.124585504
537	1.124267317
538	1.123751492
539	1.123039635
540	1.122836617
541	1.122391111
542	1.121313103
543	1.120862325
544	1.120365449
545	1.119392153
546	1.118700741
547	1.118296468
548	1.116877137
549	1.116438377
550	1.115932855
551	1.115418076
552	1.113905393
553	1.113539865
554	1.112975452
555	1.112410101
556	1.111452211
557	1.110575104
558	1.109804403
559	1.109365299
560	1.108785523
561	1.108402742
562	1.107991507
563	1.107635949
564	1.10702142
565	1.106623491
566	1.105338026
567	1.105050326
568	1.103531648
569	1.103154625
570	1.102236358
571	1.101380839
572	1.100295016
573	1.09979752
574	1.099376594
575	1.099013047
576	1.098009204
577	1.096645421
578	1.095661663
579	1.094804951
580	1.094581113
581	1.093757511
582	1.093221781
583	1.092226499
584	1.091721032
585	1.090779182
586	1.090181203
587	1.089524408
588	1.088660212
589	1.087582569
590	1.087179429
591	1.08684809
592	1.086542793
593	1.085121757
594	1.084393811
595	1.083487603
596	1.082147731
597	1.080334448
598	1.079915102
599	1.079457615
600	1.079147154
601	1.07834767
602	1.077994905
603	1.077666611
604	1.077249685
605	1.075492514
606	1.074176665
607	1.072560871
608	1.072290189
609	1.07189533
610	1.071562144
611	1.071206363
612	1.070669092
613	1.070443207
614	1.069647202
615	1.068470272
616	1.067991409
617	1.067393857
618	1.066738204
619	1.06591437
620	1.064802249
621	1.064235533
622	1.063519703
623	1.063174111
624	1.062696751
625	1.062178498
626	1.061635381
627	1.061379787
628	1.06089241
629	1.06051393
630	1.059370606
631	1.058470653
632	1.058048246
633	1.057578684
634	1.056519739
635	1.055368962
636	1.054687544
637	1.054324156
638	1.05295711
639	1.052391017
640	1.052195224
641	1.051151279
642	1.049624604
643	1.049007049
644	1.048696289
645	1.048070171
646	1.047669924
647	1.04726576
648	1.046905241
649	1.046381835
650	1.045972161
651	1.044899504
652	1.044107694
653	1.043331299
654	1.043018961
655	1.042653659
656	1.042341726
657	1.042176955
658	1.041630336
659	1.040272379
660	1.038945942
661	1.03848457
662	1.037231983
663	1.036657907
664	1.036116608
665	1.035763607
666	1.035369206
667	1.034520863
668	1.03394858
669	1.033440545
670	1.033079683
671	1.032964438
672	1.031893467
673	1.03168067
674	1.031332963
675	1.030467585
676	1.02979476
677	1.029010454
678	1.028574194
679	1.027954753
680	1.027565084
681	1.026766812
682	1.026209264
683	1.025479551
684	1.024810578
685	1.024281577
686	1.023433673
687	1.023233834
688	1.022762144
689	1.022285861
690	1.021995602
691	1.020954654
692	1.019947771
693	1.019513925
694	1.018867349
695	1.018506665
696	1.017895765
697	1.017276285
698	1.01668888
699	1.015716325
700	1.014735528
701	1.013621774
702	1.013304127
703	1.01234986
704	1.011853197
705	1.010334006
706	1.010021296
707	1.009618435
708	1.009375833
709	1.008780283
710	1.007939104
711	1.007676303
712	1.006951479
713	1.006651644
714	1.005964149
715	1.005255552
716	1.004961768
717	1.004250185
718	1.003359441
719	1.002791103
720	1.002567363
721	1.002258149
722	1.001582109
723	1.001295987
724	1.000454976
725	0.9998272783
726	0.9987991498
727	0.9979346963
728	0.9977436054
729	0.9973988677
730	0.9971374284
731	0.9964797302
732	0.9956811605
733	0.9948490708
734	0.9945113749
735	0.9943062076
736	0.9934894118
737	0.9927339462
738	0.99251027
739	0.9917174338
740	0.9915398831
741	0.9912132399
742	0.990374972
743	0.9895568486
744	0.9888233234
745	0.9882347155
746	0.987905336
747	0.9871204084
748	0.986692698
749	0.9859878015
750	0.9854910691
751	0.9851197838
752	0.9846626955
753	0.9842797214
754	0.9835448153
755	0.9830075759
756	0.9824373494
757	0.9822460742
758	0.9817370712
759	0.9812311514
760	0.9808210741
761	0.9804737239
762	0.9789646617
763	0.9787695412
764	0.9784952905
765	0.9772684879
766	0.9765691699
767	0.9763028322
768	0.975593638
769	0.9746522027
770	0.9737979131
771	0.9731548845
772	0.972645826
773	0.972323935
774	0.9715307236
775	0.9711006749
776	0.9707125261
777	0.9702447918
778	0.9697153727
779	0.9692252136
780	0.968835275
781	0.9684104435
782	0.9673503261
783	0.9666451507
784	0.966305675
785	0.9659684102
786	0.965534427
787	0.9652080221
788	0.9648090347
789	0.9643942363
790	0.9642749054
791	0.9638419637
792	0.9635327929
793	0.962989552
794	0.9623824098
795	0.9621991379
796	0.9615960727
797	0.9611569825
798	0.9606814376
799	0.9605347375
800	0.9602452935
801	0.9597395977
802	0.9594925544
803	0.9588045761
804	0.9579405347
805	0.9576928708
806	0.9574604405
807	0.9571359762
808	0.9560760634
809	0.9557361615
810	0.9549620458
811	0.9546161864
812	0.9543244569
813	0.9537016836
814	0.9534712589
815	0.9532343555
816	0.9528284275
817	0.9519938334
818	0.9516339821
819	0.9513569764
820	0.9501076759
821	0.9498440897
822	0.949448701
823	0.9490560244
824	0.9477081688
825	0.9470055452
826	0.9466797636
827	0.9464821369
828	0.9463374553
829	0.9460614317
830	0.9457475303
831	0.9456133746
832	0.9452720674
833	0.9449348515
834	0.9445632724
835	0.9434027501
836	0.942313612
837	0.9419735856
838	0.9416320513
839	0.9412817365
840	0.940664159
841	0.9400881228
842	0.939660584
843	0.9390591589
844	0.9386446394
845	0.9384714092
846	0.9380639581
847	0.9379030799
848	0.937171593
849	0.9366263127
850	0.9361501539
851	0.9358898869
852	0.9357121163
853	0.9351004288
854	0.9344984742
855	0.9342847468
856	0.9334853567
857	0.9331631372
858	0.9321832468
859	0.9315507232
860	0.9312042417
861	0.930813415
862	0.930303772
863	0.9297891939
864	0.9293901935
865	0.9289498862
866	0.9281738042
867	0.9277275097
868	0.9274405904
869	0.9272330416
870	0.9268658288
871	0.9265043953
872	0.9254912916
873	0.9250328339
874	0.9245768377
875	0.9239258071
876	0.9235579297
877	0.9232996886
878	0.9230828757
879	0.922914848
880	0.922309759
881	0.9221132945
882	0.9219840907
883	0.921448212
884	0.9212387713
885	0.9203520348
886	0.9196440857
887	0.9193992109
888	0.919163498
889	0.9187713592
890	0.9183134156
891	0.9177244459
892	0.9175898965
893	0.9173398517
894	0.9170047833
895	0.9166032192
896	0.9160261276
897	0.9155853824
898	0.9153540042
899	0.9150460536
900	0.914709841
901	0.9140050178
902	0.9134581527
903	0.9132179322
904	0.9130636159
905	0.9125715459
906	0.9122371874
907	0.9118166359
908	0.9115798015
909	0.9110284318
910	0.9106960811
911	0.9105455422
912	0.9100766852
913	0.9087317149
914	0.9084916334
915	0.9080553929
916	0.9078069974
917	0.9075292648
918	0.90729509
919	0.9071559703
920	0.9069340795
921	0.9068003576
922	0.9065311106
923	0.9063265792
924	0.9060993841
925	0.9057233893
926	0.9052349072
927	0.9050101106
928	0.9043866116
929	0.9042563122
930	0.9041276168
931	0.9037823047
932	0.9033799712
933	0.9031758497
934	0.9030528753
935	0.9028721715
936	0.9022189206
937	0.902075724
938	0.9018850448
939	0.9017019265
940	0.9013614061
941	0.901062076
942	0.9004249701
943	0.8996000238
944	0.8993023407
945	0.8988119714
946	0.8982577998
947	0.8979299293
948	0.8975980349
949	0.8972994019
950	0.8966077156
951	0.8961283319
952	0.8954392203
953	0.8952075051
954	0.89467851
955	0.8945523768
956	0.8942434069
957	0.8930111923
958	0.8928575249
959	0.8921127941
960	0.8917827528
961	0.891665699
962	0.8913879787
963	0.8911264008
964	0.8902007035
965	0.8900496657
966	0.8898056042
967	0.8895864253
968	0.8889319157
969	0.8887898163
970	0.8884468917
971	0.8879397384
972	0.8876347159
973	0.8870457297
974	0.8864479289
975	0.8857372459
976	0.8854806691
977	0.8845700982
978	0.8844403116
979	0.8838661589
980	0.8836607862
981	0.8833983636
982	0.8832526883
983	0.8825304929
984	0.8821542657
985	0.8814382297
986	0.8808235905
987	0.8806394421
988	0.8804559474
989	0.8802717625
990	0.8799285018
991	0.8793704034
992	0.8789204105
993	0.8787175476
994	0.8784163768
995	0.8777912811
996	0.8773613722
997	0.8771100859
998	0.8769418255
999	0.8762888833
