iter	RMSE
0	35.12704264
1	33.62697042
2	32.27769063
3	30.92932557
4	29.58515549
5	28.42035321
6	27.17607623
7	26.09614086
8	25.02434147
9	24.0523955
10	23.1464476
11	22.18638942
12	21.27876958
13	20.44995198
14	19.63923976
15	19.01298224
16	18.29167948
17	17.58287958
18	16.83149574
19	16.21443407
20	15.5870536
21	15.00971611
22	14.52249195
23	14.02772314
24	13.57382499
25	13.15146296
26	12.69604151
27	12.2867733
28	11.85877779
29	11.48426629
30	11.14638747
31	10.8258298
32	10.51237856
33	10.17249517
34	9.906003452
35	9.64523083
36	9.34725717
37	9.109206116
38	8.908766389
39	8.700765681
40	8.470960443
41	8.234019705
42	8.015085448
43	7.853461982
44	7.632305138
45	7.427128843
46	7.246370996
47	7.080552948
48	6.938796743
49	6.798118946
50	6.647589666
51	6.522427175
52	6.423377798
53	6.290914413
54	6.17182119
55	6.046128075
56	5.934330108
57	5.831924018
58	5.74481639
59	5.656827188
60	5.569102148
61	5.489660371
62	5.399050411
63	5.307328438
64	5.23001902
65	5.165243466
66	5.067186641
67	4.99225454
68	4.905385141
69	4.82600134
70	4.75053208
71	4.676429544
72	4.605599444
73	4.55536008
74	4.486104415
75	4.426968719
76	4.354123133
77	4.291523769
78	4.238097011
79	4.191754561
80	4.156582675
81	4.107399363
82	4.068353407
83	4.027162534
84	3.98253198
85	3.942898774
86	3.900710845
87	3.857026835
88	3.81689676
89	3.780064375
90	3.741313468
91	3.705376658
92	3.654054529
93	3.626271307
94	3.584809511
95	3.560592256
96	3.527515954
97	3.486708624
98	3.450189607
99	3.423106854
100	3.393622816
101	3.367731416
102	3.337231946
103	3.312595588
104	3.281558794
105	3.248158108
106	3.214850261
107	3.194723029
108	3.158202117
109	3.138990826
110	3.109497159
111	3.083403519
112	3.056789415
113	3.03234189
114	3.003472557
115	2.974280021
116	2.954551169
117	2.929947935
118	2.902151229
119	2.874636102
120	2.859442771
121	2.839135376
122	2.817933946
123	2.80411907
124	2.770883876
125	2.758682533
126	2.745025526
127	2.711990098
128	2.697344371
129	2.673440565
130	2.654259596
131	2.641298161
132	2.622645012
133	2.606619614
134	2.58569836
135	2.568420925
136	2.551079517
137	2.535610686
138	2.517690597
139	2.50633552
140	2.487097966
141	2.46816992
142	2.450796929
143	2.442504048
144	2.430853814
145	2.414320302
146	2.389477047
147	2.376950258
148	2.366591238
149	2.356062304
150	2.335606703
151	2.323669392
152	2.313348327
153	2.292914414
154	2.279647216
155	2.263433754
156	2.254832455
157	2.245267394
